price_in_rp,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,electricity,floors,year_built,garages, Bekasi, Bogor, Depok, Jakarta Barat, Jakarta Pusat, Jakarta Selatan, Jakarta Timur, Jakarta Utara, Tangerang
690000000,2,1,96,48,1,2200,1,2022,0,1,0,0,0,0,0,0,0,0
988000000,3,2,72,60,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
465000000,2,1,60,55,1,1300,1,2019,1,1,0,0,0,0,0,0,0,0
480000000,2,2,60,55,1,2200,2,2019,1,1,0,0,0,0,0,0,0,0
625000000,2,1,72,48,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
-2147483648,4,4,210,310,1,3300,2,2015,0,1,0,0,0,0,0,0,0,0
1180000000,3,2,84,77,0,2200,2,2021,0,1,0,0,0,0,0,0,0,0
1080000000,2,2,105,90,0,2200,2,2018,1,1,0,0,0,0,0,0,0,0
1050000000,2,1,90,70,1,2200,1,2007,1,1,0,0,0,0,0,0,0,0
1080000000,2,2,105,90,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1150000000,2,1,90,70,1,2200,1,2018,0,1,0,0,0,0,0,0,0,0
1080000000,2,2,105,90,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
1080000000,2,2,105,90,0,2200,2,2018,1,1,0,0,0,0,0,0,0,0
1150000000,2,1,90,70,1,2200,1,2018,0,1,0,0,0,0,0,0,0,0
1150000000,2,1,90,70,1,2200,1,2018,0,1,0,0,0,0,0,0,0,0
1150000000,2,1,90,70,1,2200,1,2018,0,1,0,0,0,0,0,0,0,0
1210000000,3,3,84,77,1,2200,1,2022,0,1,0,0,0,0,0,0,0,0
1180000000,3,3,84,77,1,2200,2,2021,0,1,0,0,0,0,0,0,0,0
1150000000,2,1,90,70,2,2200,1,2009,0,1,0,0,0,0,0,0,0,0
1180000000,3,3,84,77,2,1300,2,2018,0,1,0,0,0,0,0,0,0,0
968000000,2,1,89,52,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
1650000000,4,3,165,180,2,2200,2,2015,2,1,0,0,0,0,0,0,0,0
1180000000,3,3,84,77,2,2200,2,2019,0,1,0,0,0,0,0,0,0,0
720000000,2,1,80,55,1,3160,1,2022,0,1,0,0,0,0,0,0,0,0
1300000000,4,3,84,105,2,2200,2,2022,1,1,0,0,0,0,0,0,0,0
1190000000,3,2,101,84,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1180000000,3,2,84,77,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
1300000000,3,3,87,77,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
600000000,2,1,80,55,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
500000000,2,1,70,45,0,1300,1,2022,0,1,0,0,0,0,0,0,0,0
1100000000,3,3,82,72,0,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1280000000,3,3,92,130,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
-2147483648,3,4,216,300,3,5500,3,2012,2,1,0,0,0,0,0,0,0,0
1070000000,4,2,95,88,1,3500,1,2022,1,1,0,0,0,0,0,0,0,0
476000000,2,1,52,36,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
968000000,3,3,70,120,2,3500,2,2022,2,1,0,0,0,0,0,0,0,0
884000000,3,2,70,65,1,2200,1,2022,1,1,0,0,0,0,0,0,0,0
1180000000,4,3,95,140,2,3500,2,2022,2,1,0,0,0,0,0,0,0,0
-2147483648,5,4,183,136,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1100000000,3,3,180,172,1,2200,1,2010,1,1,0,0,0,0,0,0,0,0
-2147483648,3,2,175,250,1,3500,2,2004,1,1,0,0,0,0,0,0,0,0
1800000000,3,2,115,113,1,4400,1,2018,1,1,0,0,0,0,0,0,0,0
800000000,2,1,97,76,0,1300,1,2018,0,1,0,0,0,0,0,0,0,0
920000000,3,2,70,85,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1970000000,4,4,91,165,2,2200,3,2022,0,1,0,0,0,0,0,0,0,0
1990000000,3,3,178,110,0,2200,1,2017,0,1,0,0,0,0,0,0,0,0
1250000000,4,3,154,150,1,2200,1,2017,0,1,0,0,0,0,0,0,0,0
-2147483648,6,4,707,338,2,3500,2,2010,1,1,0,0,0,0,0,0,0,0
1110000000,3,3,75,80,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1870000000,3,4,91,165,2,2200,3,2022,0,1,0,0,0,0,0,0,0,0
1590000000,3,3,118,156,2,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1620000000,3,3,118,156,2,2200,2,2018,0,1,0,0,0,0,0,0,0,0
500000000,2,1,64,47,1,2200,1,2022,0,1,0,0,0,0,0,0,0,0
750000000,2,1,78,54,2,2200,1,2022,0,1,0,0,0,0,0,0,0,0
600000000,2,2,65,53,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
799000000,2,1,97,70,0,2200,1,2018,1,1,0,0,0,0,0,0,0,0
799000000,2,1,97,70,0,2200,1,2018,1,1,0,0,0,0,0,0,0,0
799000000,2,1,97,70,1,2200,1,2018,1,1,0,0,0,0,0,0,0,0
959000000,3,2,96,80,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
774000000,3,2,70,70,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
995000000,3,2,80,90,0,2200,2,2021,1,1,0,0,0,0,0,0,0,0
1400000000,2,2,112,71,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1050000000,3,2,72,90,1,2200,2,2022,2,1,0,0,0,0,0,0,0,0
975000000,3,2,100,70,1,1300,2,2022,0,1,0,0,0,0,0,0,0,0
620000000,2,1,72,50,1,1300,1,2016,1,1,0,0,0,0,0,0,0,0
959000000,3,2,72,80,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
875000000,3,2,100,66,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
600000000,2,1,72,50,0,1300,1,2020,1,1,0,0,0,0,0,0,0,0
807000000,3,2,42,63,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
580000000,3,1,60,50,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
679000000,2,1,63,45,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
900000000,3,2,72,80,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
849000000,3,2,70,90,2,2200,2,2018,2,1,0,0,0,0,0,0,0,0
880000000,3,2,75,66,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
695000000,2,2,65,58,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
465000000,2,1,60,36,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
857000000,2,2,42,62,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
650000000,2,1,72,45,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
145000000,4,3,175,140,1,2200,1,2022,0,1,0,0,0,0,0,0,0,0
1990000000,4,4,300,250,0,4400,2,2018,1,1,0,0,0,0,0,0,0,0
675000000,3,3,99,71,2,1300,1,2017,0,1,0,0,0,0,0,0,0,0
350000000,2,1,66,57,1,1300,1,2008,1,1,0,0,0,0,0,0,0,0
350000000,2,1,66,57,1,1300,1,2007,1,1,0,0,0,0,0,0,0,0
-2147483648,5,4,250,252,0,3160,2,2015,1,1,0,0,0,0,0,0,0,0
-2147483648,5,4,250,252,0,3160,2,2015,1,1,0,0,0,0,0,0,0,0
-2147483648,5,4,250,252,0,3160,2,2015,1,1,0,0,0,0,0,0,0,0
750000000,2,1,78,54,1,1300,1,2022,0,1,0,0,0,0,0,0,0,0
400000000,2,1,70,42,2,1300,1,2022,2,1,0,0,0,0,0,0,0,0
750000000,2,1,78,54,1,1300,1,2021,0,1,0,0,0,0,0,0,0,0
550000000,2,1,60,40,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
700000000,3,2,78,54,2,2200,1,2022,2,1,0,0,0,0,0,0,0,0
682000000,2,1,63,45,1,1300,1,2021,0,1,0,0,0,0,0,0,0,0
-2147483648,3,3,200,300,0,3300,2,2014,0,1,0,0,0,0,0,0,0,0
1200000000,3,2,165,90,0,1300,1,2018,1,1,0,0,0,0,0,0,0,0
-2147483648,4,3,382,350,2,4400,2,2015,0,1,0,0,0,0,0,0,0,0
-2147483648,4,4,612,376,0,10600,2,2011,0,1,0,0,0,0,0,0,0,0
1250000000,3,2,112,65,1,2200,1,2013,1,1,0,0,0,0,0,0,0,0
-2147483648,3,2,160,127,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,2,160,127,0,2200,1,2018,0,1,0,0,0,0,0,0,0,0
410000000,2,1,60,36,1,3160,1,2022,0,1,0,0,0,0,0,0,0,0
1960000000,4,3,105,101,4,4400,3,2022,0,1,0,0,0,0,0,0,0,0
875000000,2,2,66,42,0,1300,1,2019,0,1,0,0,0,0,0,0,0,0
695000000,2,2,60,58,1,2200,1,2022,0,1,0,0,0,0,0,0,0,0
1800000000,4,3,140,170,2,4400,2,2021,0,1,0,0,0,0,0,0,0,0
1050000000,3,2,72,90,1,2200,2,2022,2,1,0,0,0,0,0,0,0,0
1050000000,3,2,72,90,1,2200,2,2022,2,1,0,0,0,0,0,0,0,0
1050000000,3,2,72,90,1,2200,2,2022,2,1,0,0,0,0,0,0,0,0
1050000000,3,2,72,90,1,2200,2,2022,2,1,0,0,0,0,0,0,0,0
1050000000,3,2,72,90,1,2200,2,2022,2,1,0,0,0,0,0,0,0,0
1250000000,3,2,105,100,2,2200,2,2018,0,1,0,0,0,0,0,0,0,0
1690000000,5,5,182,300,1,4400,2,2010,0,1,0,0,0,0,0,0,0,0
1620000000,3,3,92,170,2,3500,2,2022,1,1,0,0,0,0,0,0,0,0
735000000,2,1,84,47,1,1300,1,2021,0,1,0,0,0,0,0,0,0,0
1620000000,3,3,92,160,2,3500,2,2022,0,1,0,0,0,0,0,0,0,0
2100000000,4,2,120,200,1,3300,3,2021,0,1,0,0,0,0,0,0,0,0
799000000,2,1,92,48,1,2200,1,2022,0,1,0,0,0,0,0,0,0,0
-2147483648,4,2,160,285,2,3500,2,2018,0,1,0,0,0,0,0,0,0,0
1250000000,3,3,123,165,2,2200,2,2021,0,1,0,0,0,0,0,0,0,0
1200000000,3,2,77,109,1,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1050000000,3,2,72,90,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1350000000,3,2,160,205,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
700000000,3,2,78,46,2,2200,1,2022,2,1,0,0,0,0,0,0,0,0
-2147483648,3,2,154,154,1,2200,1,2018,1,1,0,0,0,0,0,0,0,0
703000000,2,1,75,55,1,1300,2,2022,1,1,0,0,0,0,0,0,0,0
1050000000,3,2,72,108,2,2200,2,2022,0,1,0,0,0,0,0,0,0,0
1050000000,3,2,72,108,1,2200,2,2022,1,1,0,0,0,0,0,0,0,0
950000000,3,2,66,87,1,2200,2,2018,0,1,0,0,0,0,0,0,0,0
-2147483648,3,3,136,150,0,2200,2,2018,0,1,0,0,0,0,0,0,0,0
950000000,3,2,66,87,1,2200,2,2018,1,1,0,0,0,0,0,0,0,0
999000000,3,2,75,99,1,1300,1,2022,1,1,0,0,0,0,0,0,0,0
2100000000,3,3,104,120,0,2200,1,2022,0,1,0,0,0,0,0,0,0,0
